Date,Open Price,High Price,Low Price,Last Traded Price,Close Price,Total Traded Quantity,Turnover (in Lakhs)
2010-11-12,513.09,516.53,502.09,503.52,504.39,9206544.58,46733.12
2010-11-11,525.37,528.12,511.12,513.4,512.97,6106637.6,31661.49
2010-11-10,525.7,530.55,522.14,524.04,523.56,5725997.72,30148.24
2010-11-09,528.33,532.25,521.21,525.37,526.58,7415539.94,39062.05
2010-11-08,529.12,531.54,522.78,527.88,528.15,10761930.54,56816.68
2010-11-05,529.17,530.83,522.66,523.52,525.22,3071339.34,16178.3
2010-11-04,512.02,525.84,510.64,524.92,524.92,11699194.86,60831.61
2010-11-03,513.97,515.34,504.78,507.22,506.04,9595409.48,48900.89
2010-11-02,520.33,520.33,508.41,509.81,510.57,9797848.04,50193.38
2010-11-01,532.49,534.35,517.41,518.72,519.29,14681505.12,76920.02
2010-10-29,516.67,525.94,513.26,521.16,520.74,14302966.22,74355.97
2010-10-28,522.23,522.94,510.45,515.39,513.97,17414192.88,89943.54
2010-10-27,521.57,527.27,514.56,518.12,519.07,10560999.32,55187.01
2010-10-26,518.19,522.97,516.39,521.64,521.97,7431962.64,38698.08
2010-10-25,516.82,523.42,515.87,518.6,517.94,8671073.24,45082.37
2010-10-22,515.61,519.57,510.33,513.61,513.87,9444927.38,48708.85
2010-10-21,499.72,516.75,498.39,514.16,513.8,17936369.84,91652.19
2010-10-20,493.73,505.61,493.06,498.67,498.51,8773901.94,43820.81
2010-10-19,505.89,507.65,493.66,494.13,496.11,8940777.28,44837.84
2010-10-18,495.08,505.87,490.81,505.34,497.56,10687439.98,52957.96
2010-10-15,503.52,507.32,491.93,493.0,494.18,5583035.4,27880.09
2010-10-14,510.64,513.73,500.76,501.99,503.04,11748707.14,59866.49
2010-10-13,501.66,510.17,501.0,509.22,509.72,11533410.0,58540.26
2010-10-12,507.32,507.98,496.94,500.24,501.43,6727317.08,33708.51
2010-10-11,501.62,509.34,500.24,507.79,507.89,12413825.38,62882.33
2010-10-08,497.2,501.04,489.53,499.69,498.6,10040700.18,49793.92
2010-10-07,496.37,501.5,490.45,493.54,493.61,15181232.18,75527.68
2010-10-06,489.26,497.34,487.82,495.91,496.37,13540257.02,66771.24
2010-10-05,482.62,490.12,479.29,485.04,486.35,11038567.02,53631.45
2010-10-04,482.12,487.27,482.12,483.38,483.5,10183965.64,49300.3
2010-10-01,471.22,479.77,470.27,479.29,478.77,9193134.42,43742.26
2010-09-30,475.97,475.97,464.61,468.98,468.96,13946407.76,65407.66
2010-09-29,475.02,479.29,472.64,473.26,474.54,8560821.58,40751.07
2010-09-28,478.96,480.72,471.69,474.02,474.3,9471503.48,45036.25
2010-09-27,478.82,484.47,477.44,479.77,479.86,7923374.14,38115.13
2010-09-24,475.02,479.29,471.26,476.44,475.8,10908682.22,51931.91
2010-09-23,484.54,486.41,473.12,473.54,473.9,11082601.58,52888.73
2010-09-22,491.16,495.78,482.14,482.73,484.54,12450277.0,60565.77
2010-09-21,494.96,498.06,486.91,491.19,491.71,10274851.52,50572.11
2010-09-20,488.79,495.89,485.04,494.49,494.68,14638426.32,72055.82
2010-09-17,477.39,489.93,477.39,487.68,488.01,15377270.9,74570.2
2010-09-16,480.76,482.31,473.68,475.11,475.18,8922184.1,42721.39
2010-09-15,469.79,483.9,469.79,481.81,481.62,16146998.84,77414.8
2010-09-14,472.88,476.44,467.58,468.84,469.39,9370664.2,44163.46
2010-09-13,461.72,472.88,458.56,471.4,471.45,13221030.18,61596.64
2010-09-09,457.42,459.44,453.74,454.97,455.32,4867150.16,22209.8
2010-09-08,453.69,458.25,452.21,454.69,455.82,5597898.16,25475.83
2010-09-07,453.64,460.62,452.69,455.9,457.11,13656721.14,62480.18
2010-09-06,442.21,454.92,438.11,453.64,452.52,16326808.54,73269.89
2010-09-03,446.51,447.28,439.01,439.25,439.72,6948881.42,30640.89
2010-09-02,448.89,449.67,444.61,445.09,445.3,8517149.12,38026.87
2010-09-01,439.41,448.32,437.49,446.85,444.71,13419531.98,59301.38
2010-08-31,448.72,451.24,434.64,435.06,436.63,22427010.54,98371.73
2010-08-30,452.26,458.29,448.89,449.53,450.29,5730589.16,25906.65
2010-08-27,455.49,456.44,449.63,450.22,451.07,11701144.26,52924.77
2010-08-26,460.77,462.19,453.66,454.12,454.33,13394522.16,61144.33
2010-08-25,460.77,464.49,458.63,459.24,459.72,8960437.78,41352.07
2010-08-24,464.04,465.99,459.48,461.36,461.91,9275963.7,42896.49
2010-08-23,471.24,471.24,463.42,464.57,464.04,6517291.38,30375.98
2010-08-20,464.19,471.88,461.95,468.7,469.62,10103668.96,47336.19
2010-08-19,457.77,467.84,457.77,464.33,464.19,9943305.02,46250.45
2010-08-18,462.19,464.09,455.23,457.8,458.2,11962663.28,54878.98
2010-08-17,465.52,467.87,460.77,461.38,461.07,7116554.62,32961.77
2010-08-16,465.52,471.17,463.14,463.88,464.04,6750846.96,31494.25
2010-08-13,461.0,472.07,461.0,464.97,465.09,14682905.06,68525.8
2010-08-12,465.52,467.06,460.77,461.72,462.0,11987218.38,55421.44
2010-08-11,470.17,472.59,465.56,466.3,467.06,10546902.88,49399.59
2010-08-10,470.74,476.15,468.51,469.24,469.27,9619339.34,45377.75
2010-08-09,475.02,477.87,471.22,471.67,471.98,10708759.4,50718.43
